['271.70', 'Aug 20, 12:45', ' 14.35 (5.58%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['271.40', 'Aug 20, 12:48', ' 14.05 (5.46%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['270.15', 'Aug 20, 12:59', ' 12.8 (4.97%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['270.20', 'Aug 20, 13:04', ' 12.85 (4.99%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['270.05', 'Aug 20, 13:05', ' 12.7 (4.93%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['270.30', 'Aug 20, 13:12', ' 12.95 (5.03%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['270.50', 'Aug 20, 13:16', ' 13.15 (5.11%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['270.15', 'Aug 20, 13:20', ' 12.8 (4.97%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.85', 'Aug 20, 13:29', ' 12.5 (4.86%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.75', 'Aug 20, 13:32', ' 12.4 (4.82%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.90', 'Aug 20, 13:34', ' 12.55 (4.88%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.90', 'Aug 20, 13:41', ' 12.55 (4.88%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.10', 'Aug 20, 13:43', ' 11.75 (4.57%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.25', 'Aug 20, 13:54', ' 11.9 (4.62%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.50', 'Aug 20, 13:58', ' 12.15 (4.72%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.50', 'Aug 20, 13:58', ' 12.15 (4.72%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.85', 'Aug 20, 14:09', ' 12.5 (4.86%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.60', 'Aug 20, 14:14', ' 12.25 (4.76%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.60', 'Aug 20, 14:14', ' 12.25 (4.76%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.00', 'Aug 20, 14:24', ' 11.65 (4.53%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.00', 'Aug 20, 14:24', ' 11.65 (4.53%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.35', 'Aug 20, 14:33', ' 12 (4.66%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.65', 'Aug 20, 14:38', ' 12.3 (4.78%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.65', 'Aug 20, 14:38', ' 12.3 (4.78%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
